Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
19,34,22,36,35,31,8,16,36
28,32,23,29,32,17,20,27,32
36,37,28,34,36,28,14,37,37
24,32,26,33,31,22,33,33,33
42,40,23,38,41,10,21,40,42
18,27,20,27,28,27,24,13,28
55,47,19,56,53,25,52,17,56
4,28,21,27,27,22,20,19,28
7,25,23,19,26,16,6,24,26
23,34,25,35,33,21,35,26,35
22,28,20,28,29,26,26,27,29
41,40,35,39,41,24,37,33,41
29,32,21,30,35,30,28,17,35
34,35,34,35,35,22,18,15,35
41,35,30,39,38,15,8,40,41
34,34,32,33,33,33,34,32,34
39,37,31,39,35,33,34,37,39
32,38,30,35,37,34,15,14,38
40,37,18,43,41,33,17,42,43
37,32,32,38,32,14,35,3,38
23,28,23,25,29,21,28,3,29
42,40,40,34,42,20,9,40,42
26,30,23,29,30,16,10,2,30
15,28,16,28,30,13,19,16,30
28,35,20,35,34,19,14,33,35
26,25,23,25,26,20,12,17,26
29,28,14,26,29,26,23,23,29
31,37,29,39,42,34,16,42,42
32,33,28,32,31,28,11,33,33
33,33,18,28,34,29,11,31,34
41,45,27,43,46,17,23,20,46
32,33,24,32,33,32,12,29,33
25,35,21,35,34,11,8,4,35
20,28,24,30,29,13,16,17,30
17,46,29,40,45,13,16,40,46
36,37,18,39,39,19,30,24,39
29,31,13,33,34,13,12,27,34
28,28,28,29,27,10,29,3,29
25,29,23,28,27,28,18,11,29
13,24,20,24,23,23,24,20,24
21,29,27,28,28,27,9,26,29
27,36,19,38,39,36,16,14,39
19,28,11,26,27,17,10,28,28
12,34,22,33,33,25,7,5,34
2,38,32,32,38,37,13,35,38
44,46,31,43,46,12,11,45,46
37,38,28,27,38,10,19,26,38
34,36,23,36,36,36,28,31,36
20,35,31,34,35,24,6,35,35
21,29,23,29,27,26,24,20,29
31,27,18,31,32,25,21,17,32
16,37,19,31,36,28,36,37,37
29,35,31,34,36,19,13,36,36
23,31,23,25,31,15,20,2,31
32,38,30,37,35,33,31,12,38
30,30,16,29,30,24,9,29,30
56,49,50,58,59,58,39,46,59
31,35,30,34,34,18,33,32,35
32,33,21,31,34,10,13,29,34
28,27,19,28,29,9,24,3,29
46,49,40,45,49,21,21,23,49
36,37,27,34,36,14,5,33,37
28,31,24,33,33,13,12,4,33
32,35,16,35,36,28,12,27,36
26,23,16,24,25,24,19,20,26
25,42,23,39,41,33,23,39,42
11,18,15,16,18,16,13,3,18
24,28,26,24,29,28,9,24,29
33,34,18,33,33,17,32,31,34
24,26,24,28,28,17,16,19,28
24,26,16,25,26,26,19,3,26
46,48,27,51,50,44,14,34,51
24,27,23,25,25,18,27,18,27
34,34,14,30,30,16,18,7,34
38,42,18,41,43,43,11,36,43
24,30,24,29,29,25,7,24,30
35,37,29,38,40,18,11,29,40
26,27,17,28,26,27,11,3,28
27,40,42,42,45,40,46,39,46
15,34,23,29,37,36,15,21,37
38,46,37,44,48,30,11,15,48
24,34,14,35,34,32,20,18,35
26,28,22,30,25,21,13,25,30
25,28,15,29,26,28,23,20,29
29,30,20,27,30,27,27,29,30
