Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
23,30,25,31,30,17,16,25,31
29,36,30,32,35,27,31,34,36
32,32,22,33,33,20,29,24,33
29,33,30,37,37,33,37,15,37
28,29,23,27,29,25,14,20,29
47,43,25,53,54,41,40,52,54
47,48,39,47,48,37,47,43,48
25,43,34,41,44,33,44,39,44
17,22,22,21,21,20,9,9,22
39,33,23,38,39,17,35,28,39
26,35,18,35,33,31,32,34,35
43,33,27,43,44,37,28,13,44
18,33,28,33,33,29,19,7,33
26,26,25,20,26,20,20,4,26
31,33,31,35,36,25,30,26,36
28,28,26,26,28,26,25,16,28
2,26,22,27,24,14,13,11,27
25,29,20,31,33,18,15,9,33
24,28,25,25,28,9,10,21,28
23,27,23,27,25,15,13,9,27
25,39,22,40,40,36,33,36,40
7,30,20,26,31,13,10,20,31
42,40,29,42,38,40,40,37,42
18,35,19,36,32,36,34,30,36
17,38,25,39,38,33,28,32,39
37,38,25,41,42,35,38,30,42
33,33,26,34,34,28,20,29,34
24,30,28,32,32,30,11,27,32
42,46,37,48,50,33,22,38,50
33,35,23,35,35,21,13,22,35
42,50,35,55,57,37,28,56,57
19,25,23,24,24,21,11,20,25
21,27,22,27,24,23,18,6,27
44,45,40,45,45,35,18,27,45
43,42,27,43,41,41,41,36,43
33,32,27,27,33,32,18,23,33
28,39,18,41,41,36,27,37,41
34,34,27,35,39,16,19,32,39
36,38,18,39,35,31,4,23,39
48,50,44,50,51,39,48,46,51
16,30,17,27,32,18,16,23,32
22,24,19,24,23,21,7,22,24
29,29,22,34,34,21,29,33,34
12,33,19,33,34,34,33,25,34
24,35,36,36,33,35,6,29,36
21,29,27,27,30,25,25,18,30
37,38,23,31,36,39,32,18,39
12,23,21,22,23,23,22,15,23
23,27,25,27,27,27,14,17,27
48,46,29,46,50,25,37,18,50
47,54,51,58,59,60,57,31,60
29,29,23,27,28,19,11,4,29
30,37,22,35,35,24,19,26,37
29,31,26,31,28,27,21,25,31
23,26,24,28,28,15,20,13,28
29,33,25,34,35,14,19,28,35
22,24,22,23,21,19,16,21,24
19,32,19,33,34,29,13,16,34
10,38,25,32,39,33,38,24,39
36,31,31,33,36,35,10,5,36
33,35,25,36,36,27,29,32,36
47,40,31,47,47,39,42,41,47
43,44,29,43,43,34,25,43,44
40,39,22,40,41,34,37,39,41
30,29,19,31,32,24,10,3,32
34,40,27,41,39,37,36,24,41
33,43,38,42,42,37,15,37,43
36,38,18,38,38,21,13,35,38
20,25,23,24,25,18,12,22,25
33,32,25,42,44,42,22,6,44
15,31,24,31,31,31,22,10,31
34,39,29,37,39,25,25,26,39
29,27,23,28,24,24,21,22,29
47,47,26,44,44,29,24,38,47
37,40,19,41,39,32,31,37,41
31,36,34,38,38,25,9,34,38
38,39,28,38,36,22,25,28,39
38,40,24,41,40,23,17,42,42
20,30,30,31,31,7,16,2,31
43,42,21,44,47,46,22,2,47
24,39,31,38,37,36,38,38,39
14,41,26,48,45,46,47,43,48
27,32,22,33,33,25,10,32,33
27,36,25,39,39,33,39,35,39
20,44,33,47,47,43,42,2,47
39,39,25,37,41,40,39,23,41
31,31,24,31,29,29,26,23,31
40,35,34,41,42,41,25,3,42
11,23,18,23,23,16,20,8,23
37,39,29,39,37,15,35,39,39
43,42,42,42,43,34,22,43,43
29,31,23,34,34,34,21,28,34
32,32,19,31,31,19,30,25,32
44,46,30,50,50,26,27,50,50
32,39,24,42,42,36,40,29,42
28,37,33,38,39,15,15,37,39
28,27,27,28,28,18,22,15,28
36,35,35,38,38,27,35,34,38
15,29,23,32,33,17,26,31,33
20,30,30,30,27,28,28,26,30
19,37,21,37,37,16,9,33,37
35,40,35,40,40,40,22,21,40
34,32,26,31,33,32,34,23,34
36,39,38,43,43,40,18,37,43
52,63,47,56,71,23,33,67,71
44,46,31,48,48,46,10,30,48
27,30,18,30,29,24,29,30,30
26,33,28,34,34,30,13,34,34
32,40,32,43,44,34,34,12,44
46,41,21,45,46,35,28,39,46
