Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
30,30,28,30,31,25,27,13,31
27,31,21,30,30,10,9,16,31
30,34,30,34,33,26,34,28,34
11,20,19,20,17,20,13,18,20
11,36,26,32,37,13,6,36,37
21,28,21,28,26,17,12,24,28
8,39,34,32,38,26,29,24,39
26,26,21,28,27,21,14,23,28
6,25,24,22,25,14,8,25,25
24,27,27,27,27,22,21,20,27
23,33,33,33,33,20,29,17,33
23,30,20,30,30,14,16,26,30
3,28,17,28,28,21,16,25,28
30,30,30,32,23,15,10,11,32
22,31,21,30,31,17,5,15,31
17,27,27,28,26,14,8,25,28
15,37,35,37,37,21,33,37,37
24,34,33,38,39,17,18,30,39
33,34,25,37,39,28,13,5,39
8,32,24,31,31,15,20,24,32
18,31,30,32,32,23,7,32,32
2,39,34,41,41,16,32,39,41
27,32,32,25,31,18,32,19,32
38,37,33,37,36,28,8,31,38
5,29,29,29,28,25,29,15,29
13,29,17,29,29,14,10,3,29
12,27,28,28,25,21,17,25,28
27,27,27,27,26,23,19,17,27
7,25,20,24,16,15,11,20,25
30,30,28,28,31,32,32,33,33
32,33,21,38,38,33,17,37,38
26,36,26,38,40,18,21,34,40
7,26,15,24,26,20,23,24,26
22,37,27,37,36,16,10,25,37
33,37,26,35,37,35,34,12,37
5,28,27,25,21,11,24,27,28
26,31,16,30,30,18,22,31,31
4,32,28,29,32,29,12,20,32
40,43,36,37,43,29,31,37,43
34,37,27,36,37,16,25,30,37
14,29,30,28,29,17,9,27,30
24,28,21,28,27,17,28,22,28
22,27,22,28,28,24,27,15,28
14,34,25,34,34,15,15,26,34
42,45,20,42,43,25,42,28,45
4,35,23,29,35,14,22,34,35
23,30,24,30,31,12,23,26,31
26,30,25,29,30,12,13,29,30
13,35,20,35,34,14,15,19,35
3,35,35,32,34,17,28,29,35
2,21,19,21,21,16,19,16,21
40,38,42,39,43,10,19,18,43
7,29,17,28,27,17,21,28,29
12,31,23,34,34,15,31,12,34
26,26,32,34,33,29,31,12,34
33,36,23,37,36,19,8,21,37
34,41,36,42,40,35,25,41,42
20,29,14,28,28,16,18,29,29
13,21,21,21,19,18,10,15,21
42,45,43,43,45,12,7,37,45
33,35,29,37,36,30,31,33,37
7,28,20,27,29,21,15,18,29
5,28,22,28,28,15,25,9,28
15,24,16,25,24,23,18,14,25
35,36,26,24,31,29,16,9,36
20,30,19,28,30,26,26,19,30
46,64,58,64,65,18,33,59,65
23,34,23,35,35,34,12,32,35
24,29,25,31,31,25,12,24,31
8,30,19,30,28,15,18,27,30
3,30,22,29,29,26,27,30,30
34,35,29,29,34,35,27,32,35
26,40,34,41,40,31,15,33,41
13,33,24,32,31,18,23,3,33
23,31,21,29,32,22,18,9,32
16,27,20,27,27,14,21,23,27
21,28,26,26,27,28,8,22,28
19,32,26,22,30,29,29,31,32
